train_no,train_name
99001,99001 Thane - Panvel Local 1
99003,99003 Thane - Panvel Local 3
99401,99401 Thane - Vashi Local 1
99201,99201 Thane - Nerul Local 1
99403,99403 Thane - Vashi Local 3
99405,99405 Thane - Vashi Local 5
99005,99005 Thane - Panvel Local 5
99203,99203 Thane - Nerul Local 3
99407,99407 Thane - Vashi Local 7
99205,99205 Thane - Nerul Local 5 (Will not run on Sunday / Holiday)
99409,99409 Thane - Vashi Local 9
99007,99007 Thane - Panvel Local 7
99411,99411 Thane - Vashi Local 11
99207,99207 Thane - Nerul Local 7
99413,99413 Thane - Vashi Local 13
99209,99209 Thane - Nerul Local 9
99415,99415 Thane - Vashi Local 15
99009,99009 Thane - Panvel Local 9
99417,99417 Thane - Vashi Local 17 (Will not run on Sunday / Holiday)
99211,99211 Thane - Nerul Local 11
99419,99419 Thane - Vashi Local 19
99213,99213 Thane - Nerul Local 13
99421,99421 Thane - Vashi Local 21
99011,99011 Thane - Panvel Local 11 (at Thane end on Trans Harbour Line – 3 coaches reserved for “Ladies”)
99215,99215 Thane - Nerul Local 15
99423,99423 Thane - Vashi Local 23
99217,99217 Thane - Nerul Local 17
99425,99425 Thane - Vashi Local 25 (at Thane end on Trans Harbour Line – 3 coaches reserved for “Ladies”)
99013,99013 Thane - Panvel Local 13
99219,99219 Thane - Nerul Local 19 (will not run on Sunday / Holiday)
99427,99427 Thane - Vashi Local 27
99015,99015 Thane - Panvel Local 15 (at Thane end on Trans Harbour Line – 3 coaches reserved for “Ladies”)
99221,99221 Thane - Nerul Local 21
99429,99429 Thane - Vashi Local29 (at Thane end on Trans Harbour Line – 3 coaches reserved for “Ladies”)
99017,99017 Thane - Panvel Local 17
99431,99431 Thane - Vashi Local 31
99223,99223 Thane - Nerul Local 23
99433,99433 Thane - Vashi Local 33
99435,99435 Thane - Vashi Local 35
99019,99019 Thane – Panvel Local 19 (will not run on Sunday / Holiday)
99437,99437 Thane – Vashi Local 37
99225,99225 Thane – Nerul Local 25
99439,99439 Thane - Vashi Local 39
99021,99021 Thane – Panvel Local 21
99441,99441 Thane - Vashi Local 41
99227,99227 Thane – Nerul Local 27
99443,99443 Thane - Vashi Local 43
99229,99229 Thane – Nerul Local 29
99445,99445 Thane - Vashi Local 45
99023,99023 Thane – Panvel Local 23
99447,99447 Thane - Vashi Local 47
99231,99231 Thane – Nerul Local 31
99449,99449 Thane - Vashi Local 49
99233,99233 Thane – Nerul Local 33
99451,99451 Thane - Vashi Local 51
99025,99025 Thane – Panvel Local 25
99453,99453 Thane - Vashi Local 53
90709,GMN 90709 12 CAR
90711,ADH 90711 12 CAR
90713,BVI 90713 12 CAR
94057,BVI 94057 12 CAR
90715,BA 90715 12 CAR
90717,BVI 90717 12 CAR
90719,VR 90719 12 CAR
90721,VR 90721 12 CAR
92153,BSR 92153 15 CAR
90723,GMN 90723 12 CAR
90725,BVI 90725 12 CAR
92155,VR 92155 15 CAR
90727,BVI 90727 12 CAR
90753,BVI 90753 12 CAR
92161,VR 92161 12 CAR
90755,BVI 90755 12 CAR
94061,VR 94061 12 CAR
90759,BVI 90759 12 CAR
90761,BVI 90761 12 CAR
92163,NSP 92163 15 CAR
90763,BVI 90763 12 CAR
90765,BVI 90765 12 CAR
90767,BA 90767 12 CAR
90769,BYR 90769 12 CAR
92165,VR 92165 15 CAR
90771,BYR 90771 12 CAR
90773,BVI 90773 12 CAR
90801,GMN 90801 12 CAR
92171,VR 92171 15 CAR
93033,DRD 93033 12 CAR
90803,BVI 90803 12 CAR
94065,BYR 94065 12 CAR
92173,VR 92173 15 CAR
90807,VR 90807 12 CAR
90809,BVI 90809 12 CAR
90811,BYR 90811 12 CAR
90813,BVI 90813 12 CAR
90815,BVI 90815 12 CAR
90817,BA 90817 12 CAR
90819,VR 90819 12 CAR
92175,VR 92175 15 CAR
90841,BVI 90841 12 CAR
90843,BVI 90843 12 CAR
90845,GMN 90845 12 CAR
93035,DRD 93035 12 CAR
94069,VR 94069 12 CAR
90849,BVI 90849 12 CAR
90851,VR 90851 12 CAR
90853,BVI 90853 12 CAR
90855,BA 90855 12 CAR
90857,GMN 90857 12 CAR
90859,BVI 90859 12 CAR
90861,GMN 90861 12 CAR
90863,BVI 90863 12 CAR
92183,VR 92183 15 CAR
91039,BA 91039 12 CAR
91041,BVI 91041 12 CAR
91043,VR 91043 12 CAR
91045,BYR 91045 12 CAR
91047,ADH 91047 12 CAR
91049,BVI 91049 12 CAR
91051,BYR 91051 12 CAR
91053,VR 91053 12 CAR
91055,BVI 91055 12 CAR
90002,ADH 90002 12 CAR
90004,BVI 90004 12 CAR
90006,VR 90006 12 CAR
90008,BVI 90008 12 CAR
90010,BVI 90010 12 CAR
90012,VR 90012 12 CAR
90014,BVI 90014 12 CAR
90016,BVI 90016 12 CAR
90018,VR 90018 12 CAR
90020,BYR 90020 12 CAR
90022,BVI 90022 12 CAR
94002,NSP 94002 12 CAR
94004,BVI 94004 12 CAR
90028,VR 90028 12 CAR
90030,Borivali 90030 12 CAR
90032,Borivali 90032 12 CAR
92002,Virar 92002 15 CAR
90034,Bhayandar 90034 12 CAR
90036,Borivali 90036 12 CAR
90038,Virar 90038 12 CAR
90040,Borivali 90040 12 CAR
90042,Bhayandar 90042 12 CAR
90044,Goregoan 90044 12 CAR
90046,Nalla Sopara 90046 12 CAR
90048,Borivali 90048 12 CAR
90050,Bhayandar 90050 12 CAR
90052,Virar 90052 12 CAR
90054,Borivali 90054 12 CAR
94080,Nalla Sopara # 94080 12 CAR
92004,Virar 92004 15 CAR
94082,Borivali 94082 12 CAR
94084,Bhayandar 94084 12 CAR
92006,Virar 92006 15 CAR
92008,Nalla Sopara 92008 15 CAR
94086,Bhayandar 94086 12 CAR
94088,Borivali 94088 12 CAR
94090,Borivali 94090 12 CAR
94092,Goregoan 94092 12 CAR
94094,Virar 94094 12 CAR
94096,Bhayandar 94096 12 CAR
94098,Virar 94098 12 CAR
94100,Borivali 94100 12 CAR
94102,Borivali 94102 12 CAR
92010,Nalla Sopara 92010 15 CAR
92012,Virar 92012 15 CAR
94104,Borivali 94104 12 CAR
94106,Borivali 94106 12 CAR
94108,Virar 94108 12 CAR
94110,Andheri 94110 12 CAR
94112,Goregoan 94112 12 CAR
92014,Virar 92014 15 CAR
94114,Borivali 94114 12 CAR
90098,Virar 90098 12 CAR
90100,Borivali 90100 12 CAR
90102,Vasai Road 90102 12 CAR
93002,Dahanu Road 93002 12 CAR
90104,Borivali 90104 12 CAR
94006,Virar 94006 12 CAR
90156,Borivali 90156 12 CAR
90158,Virar 90158 12 CAR
90160,Goregoan 90160 12 CAR
